id,metric_type,year,sector,region,conflict_description,resolution_notes,created_at,resolved_at
1,adoption_rate,2023,,,Found 12 conflicting values,,2025-07-20 00:07:19.344676,
2,adoption_rate,2024,,,Found 4 conflicting values,,2025-07-20 00:07:19.350338,
3,adoption_rate,2023,,,Found 48 conflicting values,,2025-07-20 00:08:49.727264,
4,adoption_rate,2024,,,Found 16 conflicting values,,2025-07-20 00:08:49.734457,
5,adoption_rate,2025,,,Found 25968 conflicting values,,2025-07-20 00:08:49.853847,
6,investment,2023,,,Found 16 conflicting values,,2025-07-20 00:08:49.861307,
7,investment,2024,,,Found 3456 conflicting values,,2025-07-20 00:08:49.882091,
8,investment,2025,,,Found 5512 conflicting values,,2025-07-20 00:08:49.912719,
9,productivity,2025,,,Found 12928 conflicting values,,2025-07-20 00:08:49.973361,
10,adoption_rate,2023,,,Found 48 conflicting values,,2025-07-20 00:13:01.086238,
11,adoption_rate,2024,,,Found 16 conflicting values,,2025-07-20 00:13:01.106130,
12,adoption_rate,2025,,,Found 24960 conflicting values,,2025-07-20 00:13:01.215718,
13,investment,2023,,,Found 16 conflicting values,,2025-07-20 00:13:01.221735,
14,investment,2024,,,Found 3456 conflicting values,,2025-07-20 00:13:01.243764,
15,investment,2025,,,Found 5432 conflicting values,,2025-07-20 00:13:01.274594,
16,productivity,2025,,,Found 12800 conflicting values,,2025-07-20 00:13:01.332386,
