id,name,organization,pdf_path,url,publication_date,extraction_date,page_count
1,Affects of GenAI on Highskilled Work.pdf,,,,,2025-07-20 00:07:18.507654,
2,AI strategy.pdf,,,,,2025-07-20 00:07:18.520337,
3,AI use case.pdf,,,,,2025-07-20 00:07:18.531545,
4,ai-and-the-global-economy.pdf,,,,,2025-07-20 00:07:18.539043,
5,AI100Report_MT_10.pdf,,,,,2025-07-20 00:07:18.548096,
6,Assessing the Impact of Artificial Intelligence Tools on Employee.pdf,,,,,2025-07-20 00:07:18.561860,
7,cost-benefit-analysis-artificial-intelligence-evidence-from-a-field-experiment-on-gpt-4o-1.pdf,,,,,2025-07-20 00:07:18.576107,
8,Exploring artificial intelligence adoption in public organizations  a comparative case study.pdf,,,,,2025-07-20 00:07:18.616162,
9,GenAi and the Nature of Work.pdf,,,,,2025-07-20 00:07:18.622743,
10,Generative AI at Work.pdf,,,,,2025-07-20 00:07:18.630758,
11,gs-new-decade-begins.pdf,,,,,2025-07-20 00:07:18.648228,
12,hai_ai_index_report_2025.pdf,,,,,2025-07-20 00:07:18.663269,
13,Mapping-AI-readiness-final.pdf,,,,,2025-07-20 00:07:18.669992,
14,nvidia-cost-trends-ai-inference-at-scale.pdf,,,,,2025-07-20 00:07:18.678289,
15,the-economic-impact-of-large-language-models.pdf,,,,,2025-07-20 00:07:18.685996,
16,wpiea2024231-print-pdf.pdf,,,,,2025-07-20 00:07:18.693902,
17,Acemoglu_Macroeconomics-of-AI_May-2024.pdf,,,,,2025-07-20 00:07:18.702293,
18,"Artificial Intelligence, Scientific Discovery, and Product Innovation.pdf",,,,,2025-07-20 00:07:19.077213,
19,Economic_Impacts_Paper.pdf,,,,,2025-07-20 00:07:19.182268,
20,Machines of mind_ The case for an AI-powered productivity boom.pdf,,,,,2025-07-20 00:07:19.260796,
21,oecd-artificial-intelligence-review-2025.pdf,,,,,2025-07-20 00:07:19.293669,
22,"The Productivity Puzzle_ AI, Technology Adoption and the Workforce _ Richmond Fed.pdf",,,,,2025-07-20 00:07:19.299050,
