year,msa,tech_employment,avg_weekly_wage
2004,"San Francisco-Oakland-Fremont, CA",37455,994
2004,"Seattle-Tacoma-Bellevue, WA",16068,790
2004,"Boston-Cambridge-Newton, MA-NH",37637,948
2004,"Austin-Round Rock, TX",10175,781
2005,"San Francisco-Oakland-Fremont, CA",45076,1995
2005,"Seattle-Tacoma-Bellevue, WA",17130,820
2005,"Boston-Cambridge-Newton, MA-NH",38957,972
2005,"Austin-Round Rock, TX",0,0
2006,"San Francisco-Oakland-Fremont, CA",47672,2067
2006,"Seattle-Tacoma-Bellevue, WA",20194,820
2006,"Boston-Cambridge-Newton, MA-NH",41425,1115
2006,"Austin-Round Rock, TX",11948,922
2007,"San Francisco-Oakland-Fremont, CA",51486,2175
2007,"Seattle-Tacoma-Bellevue, WA",23958,983
2007,"Boston-Cambridge-Newton, MA-NH",52017,1952
2007,"Austin-Round Rock, TX",1564,725
2008,"San Francisco-Oakland-Fremont, CA",54419,2270
2008,"Seattle-Tacoma-Bellevue, WA",26783,871
2008,"Boston-Cambridge-Newton, MA-NH",48001,1119
2008,"Austin-Round Rock, TX",1326,703
2009,"San Francisco-Oakland-Fremont, CA",52819,2371
2009,"Seattle-Tacoma-Bellevue, WA",29007,1548
2009,"Boston-Cambridge-Newton, MA-NH",55272,2049
2009,"Austin-Round Rock, TX",0,0
2010,"San Francisco-Oakland-Fremont, CA",55603,2458
2010,"Seattle-Tacoma-Bellevue, WA",31516,1618
2010,"Boston-Cambridge-Newton, MA-NH",48810,1265
2010,"Austin-Round Rock, TX",0,0
2011,"San Francisco-Oakland-Fremont, CA",58753,1338
2011,"Seattle-Tacoma-Bellevue, WA",30056,940
2011,"Boston-Cambridge-Newton, MA-NH",51798,1259
2011,"Austin-Round Rock, TX",0,0
2012,"San Francisco-Oakland-Fremont, CA",70031,2370
2012,"Seattle-Tacoma-Bellevue, WA",36490,1688
2012,"Boston-Cambridge-Newton, MA-NH",55302,1267
2012,"Austin-Round Rock, TX",2157,786
2013,"San Francisco-Oakland-Fremont, CA",80052,2969
2013,"Seattle-Tacoma-Bellevue, WA",39105,1763
2013,"Boston-Cambridge-Newton, MA-NH",60641,1273
2013,"Austin-Round Rock, TX",2564,804
2014,"San Francisco-Oakland-Fremont, CA",89311,2945
2014,"Seattle-Tacoma-Bellevue, WA",42552,2009
2014,"Boston-Cambridge-Newton, MA-NH",63257,1295
2014,"Austin-Round Rock, TX",3044,862
2015,"San Francisco-Oakland-Fremont, CA",103230,3046
2015,"Seattle-Tacoma-Bellevue, WA",45977,1968
2015,"Boston-Cambridge-Newton, MA-NH",67188,1334
2015,"Austin-Round Rock, TX",0,0
2016,"San Francisco-Oakland-Fremont, CA",112693,3400
2016,"Seattle-Tacoma-Bellevue, WA",49729,2182
2016,"Boston-Cambridge-Newton, MA-NH",70037,1362
2016,"Austin-Round Rock, TX",32523,1138
2017,"San Francisco-Oakland-Fremont, CA",114246,3600
2017,"Seattle-Tacoma-Bellevue, WA",54306,2279
2017,"Boston-Cambridge-Newton, MA-NH",74726,1434
2017,"Austin-Round Rock, TX",40963,2234
2018,"San Francisco-Oakland-Fremont, CA",120784,4498
2018,"Seattle-Tacoma-Bellevue, WA",57011,2695
2018,"Boston-Cambridge-Newton, MA-NH",76709,1467
2018,"Austin-Round Rock, TX",45177,2456
2019,"San Francisco-Oakland-Fremont, CA",128201,4347
2019,"Seattle-Tacoma-Bellevue, WA",60368,3066
2019,"Boston-Cambridge-Newton, MA-NH",78295,1565
2019,"Austin-Round Rock, TX",40255,1293
2020,"San Francisco-Oakland-Fremont, CA",130445,4678
2020,"Seattle-Tacoma-Bellevue, WA",61542,3361
2020,"Boston-Cambridge-Newton, MA-NH",78001,1645
2020,"Austin-Round Rock, TX",49141,2928
2021,"San Francisco-Oakland-Fremont, CA",104500,2666
2021,"Seattle-Tacoma-Bellevue, WA",67677,3881
2021,"Boston-Cambridge-Newton, MA-NH",76230,1859
2021,"Austin-Round Rock, TX",48236,1552
2022,"San Francisco-Oakland-Fremont, CA",143315,4852
2022,"Seattle-Tacoma-Bellevue, WA",85519,3831
2022,"Boston-Cambridge-Newton, MA-NH",75476,1825
2022,"Austin-Round Rock, TX",57967,1531
2023,"San Francisco-Oakland-Fremont, CA",138092,5432
2023,"Seattle-Tacoma-Bellevue, WA",80019,4359
2023,"Boston-Cambridge-Newton, MA-NH",68954,1926
2023,"Austin-Round Rock, TX",68512,3680
2024,"San Francisco-Oakland-Fremont, CA",132593,6170
2024,"Seattle-Tacoma-Bellevue, WA",77115,4951
2024,"Boston-Cambridge-Newton, MA-NH",63691,2029
2024,"Austin-Round Rock, TX",68673,4350
